unique_key,collected_at_utc,ticker,company_name,cik,form,filing_date,report_date,accession_number,filing_url,transaction_table,transaction_date,transaction_code,security_title,shares,price,total_amount,shares_owned_after,ownership_type,reporting_owner,relationship,is_director,is_officer,is_ten_percent_owner,officer_title,source
CHD|0000313927-26-000267|nonDerivative|2026-06-10|Saligram Ravichandra Krishnamurty|M|Common Stock|12960|49.62|I,2026-06-11 14:26:13+0000,CHD,CHURCH & DWIGHT CO INC /DE/,0000313927,4,2026-06-11,2026-06-10,0000313927-26-000267,https://www.sec.gov/Archives/edgar/data/313927/000031392726000267/form4.xml,nonDerivative,2026-06-10,M,Common Stock,12960,49.62,643075.2,26612.999,I,Saligram Ravichandra Krishnamurty,Director,1,,,,SEC EDGAR
CHD|0000313927-26-000267|nonDerivative|2026-06-10|Saligram Ravichandra Krishnamurty|S|Common Stock|12960|98.00|I,2026-06-11 14:26:13+0000,CHD,CHURCH & DWIGHT CO INC /DE/,0000313927,4,2026-06-11,2026-06-10,0000313927-26-000267,https://www.sec.gov/Archives/edgar/data/313927/000031392726000267/form4.xml,nonDerivative,2026-06-10,S,Common Stock,12960,98.00,1270080.0,13652.999,I,Saligram Ravichandra Krishnamurty,Director,1,,,,SEC EDGAR
CHD|0000313927-26-000267|derivative|2026-06-10|Saligram Ravichandra Krishnamurty|M|Stock Option (right to buy)|12960|0|D,2026-06-11 14:26:13+0000,CHD,CHURCH & DWIGHT CO INC /DE/,0000313927,4,2026-06-11,2026-06-10,0000313927-26-000267,https://www.sec.gov/Archives/edgar/data/313927/000031392726000267/form4.xml,derivative,2026-06-10,M,Stock Option (right to buy),12960,0,0.0,0,D,Saligram Ravichandra Krishnamurty,Director,1,,,,SEC EDGAR
CHD|0000313927-26-000269|nonDerivative|2026-06-10|Buchert Brian D|M|Common Stock|10160|49.62|D,2026-06-11 14:26:13+0000,CHD,CHURCH & DWIGHT CO INC /DE/,0000313927,4,2026-06-11,2026-06-10,0000313927-26-000269,https://www.sec.gov/Archives/edgar/data/313927/000031392726000269/form4.xml,nonDerivative,2026-06-10,M,Common Stock,10160,49.62,504139.19999999995,11446,D,Buchert Brian D,"Officer, EVP of Strategy, M&A, and BP",,1,,"EVP of Strategy, M&A, and BP",SEC EDGAR
CHD|0000313927-26-000269|nonDerivative|2026-06-10|Buchert Brian D|S|Common Stock|10160|98.145|D,2026-06-11 14:26:13+0000,CHD,CHURCH & DWIGHT CO INC /DE/,0000313927,4,2026-06-11,2026-06-10,0000313927-26-000269,https://www.sec.gov/Archives/edgar/data/313927/000031392726000269/form4.xml,nonDerivative,2026-06-10,S,Common Stock,10160,98.145,997153.2,1286,D,Buchert Brian D,"Officer, EVP of Strategy, M&A, and BP",,1,,"EVP of Strategy, M&A, and BP",SEC EDGAR
CHD|0000313927-26-000269|derivative|2026-06-10|Buchert Brian D|M|Stock Option (right to buy)|10160|0|D,2026-06-11 14:26:13+0000,CHD,CHURCH & DWIGHT CO INC /DE/,0000313927,4,2026-06-11,2026-06-10,0000313927-26-000269,https://www.sec.gov/Archives/edgar/data/313927/000031392726000269/form4.xml,derivative,2026-06-10,M,Stock Option (right to buy),10160,0,0.0,0,D,Buchert Brian D,"Officer, EVP of Strategy, M&A, and BP",,1,,"EVP of Strategy, M&A, and BP",SEC EDGAR
"AFL|0001104659-26-072665|nonDerivative|2026-06-09|Japan Post Holdings Co., Ltd.|S|Common Stock|7238|115.21|I",2026-06-11 14:26:13+0000,AFL,AFLAC INC,0000004977,4,2026-06-11,2026-06-09,0001104659-26-072665,https://www.sec.gov/Archives/edgar/data/4977/000110465926072665/tm2615867-10_4seq1.xml,nonDerivative,2026-06-09,S,Common Stock,7238,115.21,833889.98,51148297,I,"Japan Post Holdings Co., Ltd.",10% Owner,0,0,1,,SEC EDGAR
"AFL|0001104659-26-072665|nonDerivative|2026-06-09|Japan Post Holdings Co., Ltd.|S|Common Stock|5463|115.71|I",2026-06-11 14:26:13+0000,AFL,AFLAC INC,0000004977,4,2026-06-11,2026-06-09,0001104659-26-072665,https://www.sec.gov/Archives/edgar/data/4977/000110465926072665/tm2615867-10_4seq1.xml,nonDerivative,2026-06-09,S,Common Stock,5463,115.71,632123.73,51142834,I,"Japan Post Holdings Co., Ltd.",10% Owner,0,0,1,,SEC EDGAR
"AFL|0001104659-26-072665|nonDerivative|2026-06-09|Japan Post Holdings Co., Ltd.|S|Common Stock|99|116.51|I",2026-06-11 14:26:13+0000,AFL,AFLAC INC,0000004977,4,2026-06-11,2026-06-09,0001104659-26-072665,https://www.sec.gov/Archives/edgar/data/4977/000110465926072665/tm2615867-10_4seq1.xml,nonDerivative,2026-06-09,S,Common Stock,99,116.51,11534.49,51142735,I,"Japan Post Holdings Co., Ltd.",10% Owner,0,0,1,,SEC EDGAR
WSM|0000719955-26-000142|nonDerivative|2026-06-08|Yearout Karalyn|S|Common Stock|522|203.07|D,2026-06-11 14:26:13+0000,WSM,WILLIAMS SONOMA INC,0000719955,4,2026-06-10,2026-06-08,0000719955-26-000142,https://www.sec.gov/Archives/edgar/data/719955/000071995526000142/form4.xml,nonDerivative,2026-06-08,S,Common Stock,522,203.07,106002.54,22829,D,Yearout Karalyn,"Officer, EVP CHIEF TALENT OFFICER",,1,,EVP CHIEF TALENT OFFICER,SEC EDGAR
TTWO|0000946581-26-000053|nonDerivative|2026-06-08|Emerson Daniel P|S|Common Stock|8840|214.00|D,2026-06-11 14:26:13+0000,TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,0000946581,4,2026-06-10,2026-06-08,0000946581-26-000053,https://www.sec.gov/Archives/edgar/data/946581/000094658126000053/form4.xml,nonDerivative,2026-06-08,S,Common Stock,8840,214.00,1891760.0,122828,D,Emerson Daniel P,"Officer, Chief Legal Officer",,1,,Chief Legal Officer,SEC EDGAR
TPL|0001437749-26-020099|nonDerivative|2026-06-09|HORIZON KINETICS ASSET MANAGEMENT LLC|P|Common Stock|1|386.62|D,2026-06-11 14:26:13+0000,TPL,Texas Pacific Land Corp,0001811074,4,2026-06-10,2026-06-09,0001437749-26-020099,https://www.sec.gov/Archives/edgar/data/1811074/000143774926020099/rdgdoc.xml,nonDerivative,2026-06-09,P,Common Stock,1,386.62,386.62,3393549,D,HORIZON KINETICS ASSET MANAGEMENT LLC,10% Owner,,,1,,SEC EDGAR
