unique_key,collected_at_utc,ticker,company_name,cik,form,filing_date,report_date,accession_number,filing_url,transaction_table,transaction_date,transaction_code,security_title,shares,price,total_amount,shares_owned_after,ownership_type,reporting_owner,relationship,is_director,is_officer,is_ten_percent_owner,officer_title,source
XYZ|0001628280-26-051453|nonDerivative|2026-07-29|Acosta Andrea|A|Class A  Common Stock|112191|0|D,2026-08-01 03:44:51+0000,XYZ,"Block, Inc.",0001512673,4,2026-07-31,2026-07-29,0001628280-26-051453,https://www.sec.gov/Archives/edgar/data/1512673/000162828026051453/wk-form4_1785532058.xml,nonDerivative,2026-07-29,A,Class A  Common Stock,112191,0,0.0,112191,D,Acosta Andrea,"Officer, Chief Accounting Officer",0,1,0,Chief Accounting Officer,SEC EDGAR
XEL|0000072903-26-000158|nonDerivative|2026-07-29|Carter Peter W|A|Common Stock|1818.74|0|D,2026-08-01 03:44:51+0000,XEL,XCEL ENERGY INC,0000072903,4,2026-07-31,2026-07-29,0000072903-26-000158,https://www.sec.gov/Archives/edgar/data/72903/000007290326000158/wk-form4_1785530378.xml,nonDerivative,2026-07-29,A,Common Stock,1818.74,0,0.0,1818.74,D,Carter Peter W,Director,1,0,0,,SEC EDGAR
VRSK|0001193125-26-328459|nonDerivative|2026-07-29|Shavel Lee|S|Common Stock|2500|220.00|D,2026-08-01 03:44:51+0000,VRSK,"Verisk Analytics, Inc.",0001442145,4,2026-07-31,2026-07-29,0001193125-26-328459,https://www.sec.gov/Archives/edgar/data/1442145/000119312526328459/ownership.xml,nonDerivative,2026-07-29,S,Common Stock,2500,220.00,550000.0,98490,D,Shavel Lee,Chief Executive Officer,true,true,false,Chief Executive Officer,SEC EDGAR
VRSK|0001193125-26-328574|nonDerivative|2026-07-31|Beckles Kathy Card|S|Common Stock|2020|195.49|D,2026-08-01 03:44:51+0000,VRSK,"Verisk Analytics, Inc.",0001442145,4,2026-07-31,2026-07-31,0001193125-26-328574,https://www.sec.gov/Archives/edgar/data/1442145/000119312526328574/ownership.xml,nonDerivative,2026-07-31,S,Common Stock,2020,195.49,394889.80000000005,11516,D,Beckles Kathy Card,Chief Legal Officer,false,true,false,Chief Legal Officer,SEC EDGAR
VLTO|0001834046-26-000008|nonDerivative|2026-07-29|Honeycutt Jennifer|M|Common Stock|7097|28.76|D,2026-08-01 03:44:51+0000,VLTO,Veralto Corp,0001967680,4,2026-07-31,2026-07-29,0001834046-26-000008,https://www.sec.gov/Archives/edgar/data/1967680/000183404626000008/wk-form4_1785531663.xml,nonDerivative,2026-07-29,M,Common Stock,7097,28.76,204109.72,131182,D,Honeycutt Jennifer,"Director, Officer, President and CEO",1,1,0,President and CEO,SEC EDGAR
VLTO|0001834046-26-000008|nonDerivative|2026-07-29|Honeycutt Jennifer|S|Common Stock|7097|101.52|D,2026-08-01 03:44:51+0000,VLTO,Veralto Corp,0001967680,4,2026-07-31,2026-07-29,0001834046-26-000008,https://www.sec.gov/Archives/edgar/data/1967680/000183404626000008/wk-form4_1785531663.xml,nonDerivative,2026-07-29,S,Common Stock,7097,101.52,720487.44,124085,D,Honeycutt Jennifer,"Director, Officer, President and CEO",1,1,0,President and CEO,SEC EDGAR
VLTO|0001834046-26-000008|derivative|2026-07-29|Honeycutt Jennifer|M|Employee Stock Option (Right to Buy)|7097|0|D,2026-08-01 03:44:51+0000,VLTO,Veralto Corp,0001967680,4,2026-07-31,2026-07-29,0001834046-26-000008,https://www.sec.gov/Archives/edgar/data/1967680/000183404626000008/wk-form4_1785531663.xml,derivative,2026-07-29,M,Employee Stock Option (Right to Buy),7097,0,0.0,7098,D,Honeycutt Jennifer,"Director, Officer, President and CEO",1,1,0,President and CEO,SEC EDGAR
V|0001403161-26-000107|nonDerivative|2026-07-30|MAHON TULLIER KELLY|M|Class A Common Stock|37281|109.82|D,2026-08-01 03:44:51+0000,V,VISA INC.,0001403161,4,2026-07-31,2026-07-30,0001403161-26-000107,https://www.sec.gov/Archives/edgar/data/1403161/000140316126000107/form4.xml,nonDerivative,2026-07-30,M,Class A Common Stock,37281,109.82,4094199.42,106934,D,MAHON TULLIER KELLY,"Officer, VICE CHAIR, CHF PPL & CORP AFF",,1,,"VICE CHAIR, CHF PPL & CORP AFF",SEC EDGAR
V|0001403161-26-000107|nonDerivative|2026-07-30|MAHON TULLIER KELLY|S|Class A Common Stock|37281|365.0492|D,2026-08-01 03:44:51+0000,V,VISA INC.,0001403161,4,2026-07-31,2026-07-30,0001403161-26-000107,https://www.sec.gov/Archives/edgar/data/1403161/000140316126000107/form4.xml,nonDerivative,2026-07-30,S,Class A Common Stock,37281,365.0492,13609399.2252,69653,D,MAHON TULLIER KELLY,"Officer, VICE CHAIR, CHF PPL & CORP AFF",,1,,"VICE CHAIR, CHF PPL & CORP AFF",SEC EDGAR
V|0001403161-26-000107|nonDerivative|2026-07-30|MAHON TULLIER KELLY|S|Class A Common Stock|19991|364.8112|D,2026-08-01 03:44:51+0000,V,VISA INC.,0001403161,4,2026-07-31,2026-07-30,0001403161-26-000107,https://www.sec.gov/Archives/edgar/data/1403161/000140316126000107/form4.xml,nonDerivative,2026-07-30,S,Class A Common Stock,19991,364.8112,7292940.6992,49662,D,MAHON TULLIER KELLY,"Officer, VICE CHAIR, CHF PPL & CORP AFF",,1,,"VICE CHAIR, CHF PPL & CORP AFF",SEC EDGAR
V|0001403161-26-000107|derivative|2026-07-30|MAHON TULLIER KELLY|M|Employee Stock Option (Right to Buy)|37281|0|D,2026-08-01 03:44:51+0000,V,VISA INC.,0001403161,4,2026-07-31,2026-07-30,0001403161-26-000107,https://www.sec.gov/Archives/edgar/data/1403161/000140316126000107/form4.xml,derivative,2026-07-30,M,Employee Stock Option (Right to Buy),37281,0,0.0,0,D,MAHON TULLIER KELLY,"Officer, VICE CHAIR, CHF PPL & CORP AFF",,1,,"VICE CHAIR, CHF PPL & CORP AFF",SEC EDGAR
