unique_key,collected_at_utc,ticker,company_name,cik,form,filing_date,report_date,accession_number,filing_url,transaction_table,transaction_date,transaction_code,security_title,shares,price,total_amount,shares_owned_after,ownership_type,reporting_owner,relationship,is_director,is_officer,is_ten_percent_owner,officer_title,source
WMT|0001992808-26-000024|nonDerivative|2026-08-20|Nicholas Christopher James|S|Common|2900|106.3391|D,2026-08-23 01:56:05+0000,WMT,Walmart Inc.,0000104169,4,2026-08-21,2026-08-20,0001992808-26-000024,https://www.sec.gov/Archives/edgar/data/104169/000199280826000024/wk-form4_1787346878.xml,nonDerivative,2026-08-20,S,Common,2900,106.3391,308383.39,569153.269,D,Nicholas Christopher James,"Officer, Executive Vice President",0,1,0,Executive Vice President,SEC EDGAR
WAB|0000943452-26-000010|nonDerivative|2026-08-20|Fetsko Michael|S|Common Stock - Direct|2962|293.158|D,2026-08-23 01:56:05+0000,WAB,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP,0000943452,4,2026-08-21,2026-08-20,0000943452-26-000010,https://www.sec.gov/Archives/edgar/data/943452/000094345226000010/wk-form4_1787330089.xml,nonDerivative,2026-08-20,S,Common Stock - Direct,2962,293.158,868333.996,37668,D,Fetsko Michael,"Officer, Pres., Freight Components Grp.",0,1,0,"Pres., Freight Components Grp.",SEC EDGAR
WAB|0000943452-26-000010|nonDerivative|2026-08-20|Fetsko Michael|S|Common Stock - Direct|288|293.8442|D,2026-08-23 01:56:05+0000,WAB,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP,0000943452,4,2026-08-21,2026-08-20,0000943452-26-000010,https://www.sec.gov/Archives/edgar/data/943452/000094345226000010/wk-form4_1787330089.xml,nonDerivative,2026-08-20,S,Common Stock - Direct,288,293.8442,84627.1296,37380,D,Fetsko Michael,"Officer, Pres., Freight Components Grp.",0,1,0,"Pres., Freight Components Grp.",SEC EDGAR
UAL|0000100517-26-000166|nonDerivative|2026-08-19|SHAPIRO EDWARD|G|Common Stock|50000|0|D,2026-08-23 01:56:05+0000,UAL,"United Airlines Holdings, Inc.",0000100517,4,2026-08-21,2026-08-19,0000100517-26-000166,https://www.sec.gov/Archives/edgar/data/100517/000010051726000166/wk-form4_1787348787.xml,nonDerivative,2026-08-19,G,Common Stock,50000,0,0.0,150000,D,SHAPIRO EDWARD,Director,1,0,0,,SEC EDGAR
TPL|0001437749-26-028696|nonDerivative|2026-08-20|HORIZON KINETICS ASSET MANAGEMENT LLC|P|Common Stock|1|377.85|D,2026-08-23 01:56:05+0000,TPL,Texas Pacific Land Corp,0001811074,4,2026-08-21,2026-08-20,0001437749-26-028696,https://www.sec.gov/Archives/edgar/data/1811074/000143774926028696/rdgdoc.xml,nonDerivative,2026-08-20,P,Common Stock,1,377.85,377.85,3244014,D,HORIZON KINETICS ASSET MANAGEMENT LLC,10% Owner,,,1,,SEC EDGAR
ROK|0001523212-26-000002|nonDerivative|2026-08-19|Rothe Christian E|M|Common Stock|1257|0|D,2026-08-23 01:56:05+0000,ROK,"ROCKWELL AUTOMATION, INC",0001024478,4,2026-08-21,2026-08-19,0001523212-26-000002,https://www.sec.gov/Archives/edgar/data/1024478/000152321226000002/wk-form4_1787350260.xml,nonDerivative,2026-08-19,M,Common Stock,1257,0,0.0,11018.6941,D,Rothe Christian E,"Officer, Sr. VP and CFO",0,1,0,Sr. VP and CFO,SEC EDGAR
ROK|0001523212-26-000002|nonDerivative|2026-08-20|Rothe Christian E|S|Common Stock|590|434.3008|D,2026-08-23 01:56:05+0000,ROK,"ROCKWELL AUTOMATION, INC",0001024478,4,2026-08-21,2026-08-19,0001523212-26-000002,https://www.sec.gov/Archives/edgar/data/1024478/000152321226000002/wk-form4_1787350260.xml,nonDerivative,2026-08-20,S,Common Stock,590,434.3008,256237.47199999998,10428.6941,D,Rothe Christian E,"Officer, Sr. VP and CFO",0,1,0,Sr. VP and CFO,SEC EDGAR
ROK|0001523212-26-000002|derivative|2026-08-19|Rothe Christian E|M|Restricted Stock Units|1257|0|D,2026-08-23 01:56:05+0000,ROK,"ROCKWELL AUTOMATION, INC",0001024478,4,2026-08-21,2026-08-19,0001523212-26-000002,https://www.sec.gov/Archives/edgar/data/1024478/000152321226000002/wk-form4_1787350260.xml,derivative,2026-08-19,M,Restricted Stock Units,1257,0,0.0,1257,D,Rothe Christian E,"Officer, Sr. VP and CFO",0,1,0,Sr. VP and CFO,SEC EDGAR
REGN|0001238303-26-000002|nonDerivative|2026-08-19|LAROSA JOSEPH J|M|Common Stock|12282|381.92|D,2026-08-23 01:56:05+0000,REGN,"REGENERON PHARMACEUTICALS, INC.",0000872589,4,2026-08-21,2026-08-19,0001238303-26-000002,https://www.sec.gov/Archives/edgar/data/872589/000123830326000002/edgardoc.xml,nonDerivative,2026-08-19,M,Common Stock,12282,381.92,4690741.44,45392,D,LAROSA JOSEPH J,"Officer, EVP General Counsel and Secret",0,1,0,EVP General Counsel and Secret,SEC EDGAR
REGN|0001238303-26-000002|nonDerivative|2026-08-19|LAROSA JOSEPH J|F|Common Stock|9019|830.15|D,2026-08-23 01:56:05+0000,REGN,"REGENERON PHARMACEUTICALS, INC.",0000872589,4,2026-08-21,2026-08-19,0001238303-26-000002,https://www.sec.gov/Archives/edgar/data/872589/000123830326000002/edgardoc.xml,nonDerivative,2026-08-19,F,Common Stock,9019,830.15,7487122.85,36373,D,LAROSA JOSEPH J,"Officer, EVP General Counsel and Secret",0,1,0,EVP General Counsel and Secret,SEC EDGAR
REGN|0001238303-26-000002|derivative|2026-08-19|LAROSA JOSEPH J|M|Non-Qualified Stock Option (right to buy)|12282|0.0|D,2026-08-23 01:56:05+0000,REGN,"REGENERON PHARMACEUTICALS, INC.",0000872589,4,2026-08-21,2026-08-19,0001238303-26-000002,https://www.sec.gov/Archives/edgar/data/872589/000123830326000002/edgardoc.xml,derivative,2026-08-19,M,Non-Qualified Stock Option (right to buy),12282,0.0,0.0,12283,D,LAROSA JOSEPH J,"Officer, EVP General Counsel and Secret",0,1,0,EVP General Counsel and Secret,SEC EDGAR
QCOM|0000804328-26-000092|nonDerivative|2026-08-20|Grech Patricia Y|M|Common Stock|427|0.0|I,2026-08-23 01:56:05+0000,QCOM,QUALCOMM INC/DE,0000804328,4,2026-08-21,2026-08-20,0000804328-26-000092,https://www.sec.gov/Archives/edgar/data/804328/000080432826000092/edgardoc.xml,nonDerivative,2026-08-20,M,Common Stock,427,0.0,0.0,427,I,Grech Patricia Y,"Officer, SVP, Chief Accounting Officer",0,1,0,"SVP, Chief Accounting Officer",SEC EDGAR
QCOM|0000804328-26-000092|nonDerivative|2026-08-20|Grech Patricia Y|M|Common Stock|316|0.0|I,2026-08-23 01:56:05+0000,QCOM,QUALCOMM INC/DE,0000804328,4,2026-08-21,2026-08-20,0000804328-26-000092,https://www.sec.gov/Archives/edgar/data/804328/000080432826000092/edgardoc.xml,nonDerivative,2026-08-20,M,Common Stock,316,0.0,0.0,1059,I,Grech Patricia Y,"Officer, SVP, Chief Accounting Officer",0,1,0,"SVP, Chief Accounting Officer",SEC EDGAR
QCOM|0000804328-26-000092|nonDerivative|2026-08-20|Grech Patricia Y|M|Common Stock|171|0.0|I,2026-08-23 01:56:05+0000,QCOM,QUALCOMM INC/DE,0000804328,4,2026-08-21,2026-08-20,0000804328-26-000092,https://www.sec.gov/Archives/edgar/data/804328/000080432826000092/edgardoc.xml,nonDerivative,2026-08-20,M,Common Stock,171,0.0,0.0,1230,I,Grech Patricia Y,"Officer, SVP, Chief Accounting Officer",0,1,0,"SVP, Chief Accounting Officer",SEC EDGAR
QCOM|0000804328-26-000092|nonDerivative|2026-08-20|Grech Patricia Y|M|Common Stock|44|0.0|I,2026-08-23 01:56:05+0000,QCOM,QUALCOMM INC/DE,0000804328,4,2026-08-21,2026-08-20,0000804328-26-000092,https://www.sec.gov/Archives/edgar/data/804328/000080432826000092/edgardoc.xml,nonDerivative,2026-08-20,M,Common Stock,44,0.0,0.0,1274,I,Grech Patricia Y,"Officer, SVP, Chief Accounting Officer",0,1,0,"SVP, Chief Accounting Officer",SEC EDGAR
QCOM|0000804328-26-000092|nonDerivative|2026-08-20|Grech Patricia Y|F|Common Stock|441|160.74|I,2026-08-23 01:56:05+0000,QCOM,QUALCOMM INC/DE,0000804328,4,2026-08-21,2026-08-20,0000804328-26-000092,https://www.sec.gov/Archives/edgar/data/804328/000080432826000092/edgardoc.xml,nonDerivative,2026-08-20,F,Common Stock,441,160.74,70886.34000000001,833,I,Grech Patricia Y,"Officer, SVP, Chief Accounting Officer",0,1,0,"SVP, Chief Accounting Officer",SEC EDGAR
QCOM|0000804328-26-000092|nonDerivative|2026-08-21|Grech Patricia Y|S|Common Stock|625|162.85|I,2026-08-23 01:56:05+0000,QCOM,QUALCOMM INC/DE,0000804328,4,2026-08-21,2026-08-20,0000804328-26-000092,https://www.sec.gov/Archives/edgar/data/804328/000080432826000092/edgardoc.xml,nonDerivative,2026-08-21,S,Common Stock,625,162.85,101781.25,208,I,Grech Patricia Y,"Officer, SVP, Chief Accounting Officer",0,1,0,"SVP, Chief Accounting Officer",SEC EDGAR
QCOM|0000804328-26-000092|derivative|2026-08-20|Grech Patricia Y|M|Restricted Stock Unit|427.8561|0.0|D,2026-08-23 01:56:05+0000,QCOM,QUALCOMM INC/DE,0000804328,4,2026-08-21,2026-08-20,0000804328-26-000092,https://www.sec.gov/Archives/edgar/data/804328/000080432826000092/edgardoc.xml,derivative,2026-08-20,M,Restricted Stock Unit,427.8561,0.0,0.0,427.8561,D,Grech Patricia Y,"Officer, SVP, Chief Accounting Officer",0,1,0,"SVP, Chief Accounting Officer",SEC EDGAR
QCOM|0000804328-26-000092|derivative|2026-08-20|Grech Patricia Y|M|Restricted Stock Unit|316.8809|0.0|D,2026-08-23 01:56:05+0000,QCOM,QUALCOMM INC/DE,0000804328,4,2026-08-21,2026-08-20,0000804328-26-000092,https://www.sec.gov/Archives/edgar/data/804328/000080432826000092/edgardoc.xml,derivative,2026-08-20,M,Restricted Stock Unit,316.8809,0.0,0.0,2619.2983,D,Grech Patricia Y,"Officer, SVP, Chief Accounting Officer",0,1,0,"SVP, Chief Accounting Officer",SEC EDGAR
