unique_key,collected_at_utc,ticker,company_name,cik,form,filing_date,report_date,accession_number,filing_url,transaction_table,transaction_date,transaction_code,security_title,shares,price,total_amount,shares_owned_after,ownership_type,reporting_owner,relationship,is_director,is_officer,is_ten_percent_owner,officer_title,source
UNH|0000731766-26-000201|nonDerivative|2026-08-21|Conway Patrick Hugh|S|Common Stock|1169|390|D,2026-08-26 01:53:32+0000,UNH,UNITEDHEALTH GROUP INC,0000731766,4,2026-08-25,2026-08-21,0000731766-26-000201,https://www.sec.gov/Archives/edgar/data/731766/000073176626000201/wk-form4_1787690129.xml,nonDerivative,2026-08-21,S,Common Stock,1169,390,455910.0,15327.797,D,Conway Patrick Hugh,"Officer, Chief Executive Officer, Optum",0,1,0,"Chief Executive Officer, Optum",SEC EDGAR
TRGP|0001193125-26-365206|nonDerivative|2026-08-21|Davis Waters S IV|S|Common Stock|440|296.3945|D,2026-08-26 01:53:32+0000,TRGP,Targa Resources Corp.,0001389170,4,2026-08-25,2026-08-21,0001193125-26-365206,https://www.sec.gov/Archives/edgar/data/1389170/000119312526365206/ownership.xml,nonDerivative,2026-08-21,S,Common Stock,440,296.3945,130413.58,3489,D,Davis Waters S IV,,true,false,false,,SEC EDGAR
TRGP|0001193125-26-365206|nonDerivative|2026-08-21|Davis Waters S IV|S|Common Stock|692|297.3792|D,2026-08-26 01:53:32+0000,TRGP,Targa Resources Corp.,0001389170,4,2026-08-25,2026-08-21,0001193125-26-365206,https://www.sec.gov/Archives/edgar/data/1389170/000119312526365206/ownership.xml,nonDerivative,2026-08-21,S,Common Stock,692,297.3792,205786.4064,2797,D,Davis Waters S IV,,true,false,false,,SEC EDGAR
TRGP|0001193125-26-365206|nonDerivative|2026-08-21|Davis Waters S IV|S|Common Stock|254|298.6809|D,2026-08-26 01:53:32+0000,TRGP,Targa Resources Corp.,0001389170,4,2026-08-25,2026-08-21,0001193125-26-365206,https://www.sec.gov/Archives/edgar/data/1389170/000119312526365206/ownership.xml,nonDerivative,2026-08-21,S,Common Stock,254,298.6809,75864.9486,2543,D,Davis Waters S IV,,true,false,false,,SEC EDGAR
TRGP|0001193125-26-365206|nonDerivative|2026-08-21|Davis Waters S IV|S|Common Stock|154|300.175|D,2026-08-26 01:53:32+0000,TRGP,Targa Resources Corp.,0001389170,4,2026-08-25,2026-08-21,0001193125-26-365206,https://www.sec.gov/Archives/edgar/data/1389170/000119312526365206/ownership.xml,nonDerivative,2026-08-21,S,Common Stock,154,300.175,46226.950000000004,2389,D,Davis Waters S IV,,true,false,false,,SEC EDGAR
TRGP|0001193125-26-365206|nonDerivative|2026-08-21|Davis Waters S IV|S|Common Stock|270|302.4687|D,2026-08-26 01:53:32+0000,TRGP,Targa Resources Corp.,0001389170,4,2026-08-25,2026-08-21,0001193125-26-365206,https://www.sec.gov/Archives/edgar/data/1389170/000119312526365206/ownership.xml,nonDerivative,2026-08-21,S,Common Stock,270,302.4687,81666.549,2119,D,Davis Waters S IV,,true,false,false,,SEC EDGAR
TRGP|0001193125-26-365206|nonDerivative|2026-08-21|Davis Waters S IV|S|Common Stock|590|303.8142|D,2026-08-26 01:53:32+0000,TRGP,Targa Resources Corp.,0001389170,4,2026-08-25,2026-08-21,0001193125-26-365206,https://www.sec.gov/Archives/edgar/data/1389170/000119312526365206/ownership.xml,nonDerivative,2026-08-21,S,Common Stock,590,303.8142,179250.37800000003,1529,D,Davis Waters S IV,,true,false,false,,SEC EDGAR
TPR|0001225208-26-007327|nonDerivative|2026-08-21|Roe Scott A.|A|Common Stock|82854.0000|33.8100|D,2026-08-26 01:53:32+0000,TPR,"TAPESTRY, INC.",0001116132,4,2026-08-25,2026-08-21,0001225208-26-007327,https://www.sec.gov/Archives/edgar/data/1116132/000122520826007327/doc4.xml,nonDerivative,2026-08-21,A,Common Stock,82854.0000,33.8100,2801293.74,151793.0000,D,Roe Scott A.,"Officer, CFO and COO",,1,,CFO and COO,SEC EDGAR
TPR|0001225208-26-007327|nonDerivative|2026-08-21|Roe Scott A.|F|Common Stock|2817.0000|130.1700|D,2026-08-26 01:53:32+0000,TPR,"TAPESTRY, INC.",0001116132,4,2026-08-25,2026-08-21,0001225208-26-007327,https://www.sec.gov/Archives/edgar/data/1116132/000122520826007327/doc4.xml,nonDerivative,2026-08-21,F,Common Stock,2817.0000,130.1700,366688.88999999996,148976.0000,D,Roe Scott A.,"Officer, CFO and COO",,1,,CFO and COO,SEC EDGAR
TPR|0001225208-26-007327|nonDerivative|2026-08-21|Roe Scott A.|F|Common Stock|3296.0000|130.1700|D,2026-08-26 01:53:32+0000,TPR,"TAPESTRY, INC.",0001116132,4,2026-08-25,2026-08-21,0001225208-26-007327,https://www.sec.gov/Archives/edgar/data/1116132/000122520826007327/doc4.xml,nonDerivative,2026-08-21,F,Common Stock,3296.0000,130.1700,429040.31999999995,145680.0000,D,Roe Scott A.,"Officer, CFO and COO",,1,,CFO and COO,SEC EDGAR
TPR|0001225208-26-007327|nonDerivative|2026-08-21|Roe Scott A.|F|Common Stock|45819.0000|130.1700|D,2026-08-26 01:53:32+0000,TPR,"TAPESTRY, INC.",0001116132,4,2026-08-25,2026-08-21,0001225208-26-007327,https://www.sec.gov/Archives/edgar/data/1116132/000122520826007327/doc4.xml,nonDerivative,2026-08-21,F,Common Stock,45819.0000,130.1700,5964259.2299999995,99861.0000,D,Roe Scott A.,"Officer, CFO and COO",,1,,CFO and COO,SEC EDGAR
