unique_key,collected_at_utc,ticker,company_name,cik,form,filing_date,report_date,accession_number,filing_url,transaction_table,transaction_date,transaction_code,security_title,shares,price,total_amount,shares_owned_after,ownership_type,reporting_owner,relationship,is_director,is_officer,is_ten_percent_owner,officer_title,source
ZTS|0001628280-26-060136|derivative|2026-08-31|SACCARO JAMES|A|Restricted Stock Unit|81063|0|D,2026-09-03 04:15:26+0000,ZTS,Zoetis Inc.,0001555280,4,2026-09-02,2026-08-31,0001628280-26-060136,https://www.sec.gov/Archives/edgar/data/1555280/000162828026060136/wk-form4_1788381284.xml,derivative,2026-08-31,A,Restricted Stock Unit,81063,0,0.0,81063,D,SACCARO JAMES,"Officer, EVP,  CFO & COO",0,1,0,"EVP,  CFO & COO",SEC EDGAR
XYL|0001524472-26-000129|nonDerivative|2026-09-01|van der Berg Andrea Michele|A|Common  Stock|1693|0|D,2026-09-03 04:15:26+0000,XYL,Xylem Inc.,0001524472,4,2026-09-02,2026-09-01,0001524472-26-000129,https://www.sec.gov/Archives/edgar/data/1524472/000152447226000129/form4.xml,nonDerivative,2026-09-01,A,Common  Stock,1693,0,0.0,10691,D,van der Berg Andrea Michele,"Officer, EVP & Chief Financial Officer",,1,,EVP & Chief Financial Officer,SEC EDGAR
XYL|0001524472-26-000129|derivative|2026-09-01|van der Berg Andrea Michele|A|Stock Options (Right to Buy)|6034|106.89|D,2026-09-03 04:15:26+0000,XYL,Xylem Inc.,0001524472,4,2026-09-02,2026-09-01,0001524472-26-000129,https://www.sec.gov/Archives/edgar/data/1524472/000152447226000129/form4.xml,derivative,2026-09-01,A,Stock Options (Right to Buy),6034,106.89,644974.26,6034,D,van der Berg Andrea Michele,"Officer, EVP & Chief Financial Officer",,1,,EVP & Chief Financial Officer,SEC EDGAR
XYL|0001524472-26-000128|nonDerivative|2026-09-01|Johnston Joseph Patrick|A|Common  Stock|645|0|D,2026-09-03 04:15:26+0000,XYL,Xylem Inc.,0001524472,4,2026-09-02,2026-09-01,0001524472-26-000128,https://www.sec.gov/Archives/edgar/data/1524472/000152447226000128/form4.xml,nonDerivative,2026-09-01,A,Common  Stock,645,0,0.0,2285,D,Johnston Joseph Patrick,"Officer, EVP & President, AW",,1,,"EVP & President, AW",SEC EDGAR
XYL|0001524472-26-000128|derivative|2026-09-01|Johnston Joseph Patrick|A|Stock Options (Right to Buy)|2298|106.89|D,2026-09-03 04:15:26+0000,XYL,Xylem Inc.,0001524472,4,2026-09-02,2026-09-01,0001524472-26-000128,https://www.sec.gov/Archives/edgar/data/1524472/000152447226000128/form4.xml,derivative,2026-09-01,A,Stock Options (Right to Buy),2298,106.89,245633.22,2298,D,Johnston Joseph Patrick,"Officer, EVP & President, AW",,1,,"EVP & President, AW",SEC EDGAR
WMT|0001579299-26-000024|nonDerivative|2026-09-01|Bartlett Daniel J|S|Common|3950|105.1387|D,2026-09-03 04:15:26+0000,WMT,Walmart Inc.,0000104169,4,2026-09-02,2026-09-01,0001579299-26-000024,https://www.sec.gov/Archives/edgar/data/104169/000157929926000024/wk-form4_1788382695.xml,nonDerivative,2026-09-01,S,Common,3950,105.1387,415297.865,622348.533,D,Bartlett Daniel J,"Officer, Executive Vice President",0,1,0,Executive Vice President,SEC EDGAR
WMB|0001703388-26-000024|nonDerivative|2026-09-01|Wilson Terrance Lane|S|Common Stock|2000|75.56|D,2026-09-03 04:15:26+0000,WMB,"WILLIAMS COMPANIES, INC.",0000107263,4,2026-09-02,2026-09-01,0001703388-26-000024,https://www.sec.gov/Archives/edgar/data/107263/000170338826000024/wk-form4_1788373534.xml,nonDerivative,2026-09-01,S,Common Stock,2000,75.56,151120.0,264259,D,Wilson Terrance Lane,"Officer, SVP & General Counsel",0,1,0,SVP & General Counsel,SEC EDGAR
WDC|0001266824-26-000192|nonDerivative|2026-08-31|Tan Irving|J|Common Stock|112500|0|D,2026-09-03 04:15:26+0000,WDC,WESTERN DIGITAL CORP,0000106040,4,2026-09-02,2026-08-31,0001266824-26-000192,https://www.sec.gov/Archives/edgar/data/106040/000126682426000192/primary_doc.xml,nonDerivative,2026-08-31,J,Common Stock,112500,0,0.0,266647,D,Tan Irving,"Director, Officer, Chief Executive Officer",1,1,0,Chief Executive Officer,SEC EDGAR
WDC|0001266824-26-000192|nonDerivative|2026-08-31|Tan Irving|J|Common Stock|112500|0|I,2026-09-03 04:15:26+0000,WDC,WESTERN DIGITAL CORP,0000106040,4,2026-09-02,2026-08-31,0001266824-26-000192,https://www.sec.gov/Archives/edgar/data/106040/000126682426000192/primary_doc.xml,nonDerivative,2026-08-31,J,Common Stock,112500,0,0.0,112500,I,Tan Irving,"Director, Officer, Chief Executive Officer",1,1,0,Chief Executive Officer,SEC EDGAR
WDC|0001266824-26-000192|nonDerivative|2026-09-01|Tan Irving|G|Common Stock|112500|0|I,2026-09-03 04:15:26+0000,WDC,WESTERN DIGITAL CORP,0000106040,4,2026-09-02,2026-08-31,0001266824-26-000192,https://www.sec.gov/Archives/edgar/data/106040/000126682426000192/primary_doc.xml,nonDerivative,2026-09-01,G,Common Stock,112500,0,0.0,112500,I,Tan Irving,"Director, Officer, Chief Executive Officer",1,1,0,Chief Executive Officer,SEC EDGAR
WDC|0001266824-26-000191|nonDerivative|2026-08-31|STREETER STEPHANIE A|S|Common Stock|2000|447.06|I,2026-09-03 04:15:26+0000,WDC,WESTERN DIGITAL CORP,0000106040,4,2026-09-02,2026-08-31,0001266824-26-000191,https://www.sec.gov/Archives/edgar/data/106040/000126682426000191/edgardoc.xml,nonDerivative,2026-08-31,S,Common Stock,2000,447.06,894120.0,38407,I,STREETER STEPHANIE A,Director,1,0,0,,SEC EDGAR
