unique_key,collected_at_utc,ticker,company_name,cik,form,filing_date,report_date,accession_number,filing_url,transaction_table,transaction_date,transaction_code,security_title,shares,price,total_amount,shares_owned_after,ownership_type,reporting_owner,relationship,is_director,is_officer,is_ten_percent_owner,officer_title,source
ZBH|0001346672-26-000010|nonDerivative|2026-09-04|Phipps Chad F|S|Common Stock|3000|98.35|D,2026-09-10 04:31:32+0000,ZBH,"ZIMMER BIOMET HOLDINGS, INC.",0001136869,4,2026-09-09,2026-09-04,0001346672-26-000010,https://www.sec.gov/Archives/edgar/data/1136869/000134667226000010/form4-09092026_080951.xml,nonDerivative,2026-09-04,S,Common Stock,3000,98.35,295050.0,65231,D,Phipps Chad F,See remarks below.,false,true,false,See remarks below.,SEC EDGAR
WMT|0001886367-26-000025|nonDerivative|2026-09-08|Watkins Latriece|F|Common|227.113|107.14|D,2026-09-10 04:31:32+0000,WMT,Walmart Inc.,0000104169,4,2026-09-09,2026-09-08,0001886367-26-000025,https://www.sec.gov/Archives/edgar/data/104169/000188636726000025/wk-form4_1788988202.xml,nonDerivative,2026-09-08,F,Common,227.113,107.14,24332.88682,115655.272,D,Watkins Latriece,"Officer, Executive Vice President",0,1,0,Executive Vice President,SEC EDGAR
WMT|0002110643-26-000018|nonDerivative|2026-09-08|Milum Dwayne M|F|Common|121.178|107.14|D,2026-09-10 04:31:32+0000,WMT,Walmart Inc.,0000104169,4,2026-09-09,2026-09-08,0002110643-26-000018,https://www.sec.gov/Archives/edgar/data/104169/000211064326000018/wk-form4_1788988391.xml,nonDerivative,2026-09-08,F,Common,121.178,107.14,12983.01092,49030.454,D,Milum Dwayne M,"Officer, SVP & Controller",0,1,0,SVP & Controller,SEC EDGAR
WMT|0002110304-26-000021|nonDerivative|2026-09-08|Guggina David W|F|Common|117.725|107.14|D,2026-09-10 04:31:32+0000,WMT,Walmart Inc.,0000104169,4,2026-09-09,2026-09-08,0002110304-26-000021,https://www.sec.gov/Archives/edgar/data/104169/000211030426000021/wk-form4_1788988237.xml,nonDerivative,2026-09-08,F,Common,117.725,107.14,12613.056499999999,124724.127,D,Guggina David W,"Officer, Executive Vice President",0,1,0,Executive Vice President,SEC EDGAR
WMT|0002058309-26-000017|nonDerivative|2026-09-08|Dallaire Seth|F|Common|386.619|107.14|D,2026-09-10 04:31:32+0000,WMT,Walmart Inc.,0000104169,4,2026-09-09,2026-09-08,0002058309-26-000017,https://www.sec.gov/Archives/edgar/data/104169/000205830926000017/wk-form4_1788988410.xml,nonDerivative,2026-09-08,F,Common,386.619,107.14,41422.35966,377242.537,D,Dallaire Seth,"Officer, Executive Vice President",0,1,0,Executive Vice President,SEC EDGAR
WDAY|0001444158-26-000018|nonDerivative|2026-09-05|Rowe Zane|F|Class A Common Stock|2808|195.79|D,2026-09-10 04:31:32+0000,WDAY,"Workday, Inc.",0001327811,4,2026-09-09,2026-09-05,0001444158-26-000018,https://www.sec.gov/Archives/edgar/data/1327811/000144415826000018/wk-form4_1788991040.xml,nonDerivative,2026-09-05,F,Class A Common Stock,2808,195.79,549778.32,285652,D,Rowe Zane,"Officer, Chief Financial Officer",0,1,0,Chief Financial Officer,SEC EDGAR
WDAY|0002060774-26-000015|nonDerivative|2026-09-05|Kazmaier Gerrit S|F|Class A Common Stock|3369|195.79|D,2026-09-10 04:31:32+0000,WDAY,"Workday, Inc.",0001327811,4,2026-09-09,2026-09-05,0002060774-26-000015,https://www.sec.gov/Archives/edgar/data/1327811/000206077426000015/wk-form4_1788990958.xml,nonDerivative,2026-09-05,F,Class A Common Stock,3369,195.79,659616.51,263019,D,Kazmaier Gerrit S,"Officer, President, Prod. and Tech.",0,1,0,"President, Prod. and Tech.",SEC EDGAR
WDAY|0001928908-26-000015|nonDerivative|2026-09-05|Enslin Robert|F|Class A Common Stock|2228|195.79|D,2026-09-10 04:31:32+0000,WDAY,"Workday, Inc.",0001327811,4,2026-09-09,2026-09-05,0001928908-26-000015,https://www.sec.gov/Archives/edgar/data/1327811/000192890826000015/wk-form4_1788990840.xml,nonDerivative,2026-09-05,F,Class A Common Stock,2228,195.79,436220.12,237241,D,Enslin Robert,"Officer, President, CCO",0,1,0,"President, CCO",SEC EDGAR
WDAY|0000938071-26-000051|nonDerivative|2026-09-04|DUFFIELD DAVID A|C|Class A Common Stock|90615|0|D,2026-09-10 04:31:32+0000,WDAY,"Workday, Inc.",0001327811,4,2026-09-09,2026-09-04,0000938071-26-000051,https://www.sec.gov/Archives/edgar/data/1327811/000093807126000051/wk-form4_1788990725.xml,nonDerivative,2026-09-04,C,Class A Common Stock,90615,0,0.0,195664,D,DUFFIELD DAVID A,10% Owner,0,0,1,,SEC EDGAR
WDAY|0000938071-26-000051|nonDerivative|2026-09-04|DUFFIELD DAVID A|S|Class A Common Stock|13666|195.8074|D,2026-09-10 04:31:32+0000,WDAY,"Workday, Inc.",0001327811,4,2026-09-09,2026-09-04,0000938071-26-000051,https://www.sec.gov/Archives/edgar/data/1327811/000093807126000051/wk-form4_1788990725.xml,nonDerivative,2026-09-04,S,Class A Common Stock,13666,195.8074,2675903.9284,181998,D,DUFFIELD DAVID A,10% Owner,0,0,1,,SEC EDGAR
WDAY|0000938071-26-000051|nonDerivative|2026-09-04|DUFFIELD DAVID A|S|Class A Common Stock|6241|196.7256|D,2026-09-10 04:31:32+0000,WDAY,"Workday, Inc.",0001327811,4,2026-09-09,2026-09-04,0000938071-26-000051,https://www.sec.gov/Archives/edgar/data/1327811/000093807126000051/wk-form4_1788990725.xml,nonDerivative,2026-09-04,S,Class A Common Stock,6241,196.7256,1227764.4696,175757,D,DUFFIELD DAVID A,10% Owner,0,0,1,,SEC EDGAR
