unique_key,collected_at_utc,ticker,company_name,cik,form,filing_date,report_date,accession_number,filing_url,transaction_table,transaction_date,transaction_code,security_title,shares,price,total_amount,shares_owned_after,ownership_type,reporting_owner,relationship,is_director,is_officer,is_ten_percent_owner,officer_title,source
"WYNN|0002045912-26-000010|nonDerivative|2026-09-15|KRUM JACQUI|F|Common Stock, par value $0.01 per share|2171|86.71|D",2026-09-17 04:45:13+0000,WYNN,WYNN RESORTS LTD,0001174922,4,2026-09-16,2026-09-15,0002045912-26-000010,https://www.sec.gov/Archives/edgar/data/1174922/000204591226000010/wk-form4_1789603167.xml,nonDerivative,2026-09-15,F,"Common Stock, par value $0.01 per share",2171,86.71,188247.40999999997,49130,D,KRUM JACQUI,"Officer, EVP and General Counsel",0,1,0,EVP and General Counsel,SEC EDGAR
WBD|0001646563-26-000007|nonDerivative|2026-09-14|Locke Lori C.|S|Series A Common Stock|29115|28.13|D,2026-09-17 04:45:13+0000,WBD,"Warner Bros. Discovery, Inc.",0001437107,4,2026-09-16,2026-09-14,0001646563-26-000007,https://www.sec.gov/Archives/edgar/data/1437107/000164656326000007/wk-form4_1789554021.xml,nonDerivative,2026-09-14,S,Series A Common Stock,29115,28.13,819004.95,86906,D,Locke Lori C.,"Officer, Chief Accounting Officer",0,1,0,Chief Accounting Officer,SEC EDGAR
VZ|0001760581-26-000056|nonDerivative|2026-09-15|Malady Kyle|S|Common Stock|1100|51.19|D,2026-09-17 04:45:13+0000,VZ,VERIZON COMMUNICATIONS INC,0000732712,4,2026-09-16,2026-09-15,0001760581-26-000056,https://www.sec.gov/Archives/edgar/data/732712/000176058126000056/wk-form4_1789587778.xml,nonDerivative,2026-09-15,S,Common Stock,1100,51.19,56309.0,105466,D,Malady Kyle,"Officer, EVP and Group CEO-VZ Business",0,1,0,EVP and Group CEO-VZ Business,SEC EDGAR
VRSN|0001940987-26-000020|nonDerivative|2026-09-15|McPherson Danny R|F|Common Stock|20.6884|297.26|D,2026-09-17 04:45:13+0000,VRSN,VERISIGN INC/CA,0001014473,4,2026-09-16,2026-09-15,0001940987-26-000020,https://www.sec.gov/Archives/edgar/data/1014473/000194098726000020/wk-form4_1789597118.xml,nonDerivative,2026-09-15,F,Common Stock,20.6884,297.26,6149.833784,33804.4209,D,McPherson Danny R,"Officer, EVP - Technology & CSO",0,1,0,EVP - Technology & CSO,SEC EDGAR
VRSN|0001530819-26-000016|nonDerivative|2026-09-15|CALYS JOHN|F|Common Stock|72.38|297.26|D,2026-09-17 04:45:13+0000,VRSN,VERISIGN INC/CA,0001014473,4,2026-09-16,2026-09-15,0001530819-26-000016,https://www.sec.gov/Archives/edgar/data/1014473/000153081926000016/wk-form4_1789597455.xml,nonDerivative,2026-09-15,F,Common Stock,72.38,297.26,21515.678799999998,30886.239,D,CALYS JOHN,"Officer, EVP, Chief Financial Officer",0,1,0,"EVP, Chief Financial Officer",SEC EDGAR
VRSN|0001204816-26-000044|nonDerivative|2026-09-15|BIDZOS D JAMES|S|Common Stock|1400|295.255|D,2026-09-17 04:45:13+0000,VRSN,VERISIGN INC/CA,0001014473,4,2026-09-16,2026-09-15,0001204816-26-000044,https://www.sec.gov/Archives/edgar/data/1014473/000120481626000044/wk-form4_1789596505.xml,nonDerivative,2026-09-15,S,Common Stock,1400,295.255,413357.0,390227.4109,D,BIDZOS D JAMES,"Director, Officer, Exec. Chairman, Pres, & CEO",1,1,0,"Exec. Chairman, Pres, & CEO",SEC EDGAR
VRSN|0001204816-26-000044|nonDerivative|2026-09-15|BIDZOS D JAMES|S|Common Stock|399|296.3239|D,2026-09-17 04:45:13+0000,VRSN,VERISIGN INC/CA,0001014473,4,2026-09-16,2026-09-15,0001204816-26-000044,https://www.sec.gov/Archives/edgar/data/1014473/000120481626000044/wk-form4_1789596505.xml,nonDerivative,2026-09-15,S,Common Stock,399,296.3239,118233.2361,389828.4109,D,BIDZOS D JAMES,"Director, Officer, Exec. Chairman, Pres, & CEO",1,1,0,"Exec. Chairman, Pres, & CEO",SEC EDGAR
VRSN|0001204816-26-000044|nonDerivative|2026-09-15|BIDZOS D JAMES|S|Common Stock|901|297.3544|D,2026-09-17 04:45:13+0000,VRSN,VERISIGN INC/CA,0001014473,4,2026-09-16,2026-09-15,0001204816-26-000044,https://www.sec.gov/Archives/edgar/data/1014473/000120481626000044/wk-form4_1789596505.xml,nonDerivative,2026-09-15,S,Common Stock,901,297.3544,267916.3144,388927.4109,D,BIDZOS D JAMES,"Director, Officer, Exec. Chairman, Pres, & CEO",1,1,0,"Exec. Chairman, Pres, & CEO",SEC EDGAR
VRSN|0001204816-26-000044|nonDerivative|2026-09-15|BIDZOS D JAMES|S|Common Stock|600|298.6767|D,2026-09-17 04:45:13+0000,VRSN,VERISIGN INC/CA,0001014473,4,2026-09-16,2026-09-15,0001204816-26-000044,https://www.sec.gov/Archives/edgar/data/1014473/000120481626000044/wk-form4_1789596505.xml,nonDerivative,2026-09-15,S,Common Stock,600,298.6767,179206.02,388327.4109,D,BIDZOS D JAMES,"Director, Officer, Exec. Chairman, Pres, & CEO",1,1,0,"Exec. Chairman, Pres, & CEO",SEC EDGAR
VRSK|0001193125-26-393144|nonDerivative|2026-09-15|Mann Elizabeth|S|Common Stock|400|184.91|D,2026-09-17 04:45:13+0000,VRSK,"Verisk Analytics, Inc.",0001442145,4,2026-09-16,2026-09-15,0001193125-26-393144,https://www.sec.gov/Archives/edgar/data/1442145/000119312526393144/ownership.xml,nonDerivative,2026-09-15,S,Common Stock,400,184.91,73964.0,17984,D,Mann Elizabeth,Chief Financial Officer,false,true,false,Chief Financial Officer,SEC EDGAR
TTWO|0000946581-26-000082|nonDerivative|2026-09-15|Siminoff Ellen F|S|Common Stock|167|219.53|I,2026-09-17 04:45:13+0000,TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,0000946581,4,2026-09-16,2026-09-15,0000946581-26-000082,https://www.sec.gov/Archives/edgar/data/946581/000094658126000082/form4.xml,nonDerivative,2026-09-15,S,Common Stock,167,219.53,36661.51,1499,I,Siminoff Ellen F,Director,1,,,,SEC EDGAR
