unique_key,collected_at_utc,ticker,company_name,cik,form,filing_date,report_date,accession_number,filing_url,transaction_table,transaction_date,transaction_code,security_title,shares,price,total_amount,shares_owned_after,ownership_type,reporting_owner,relationship,is_director,is_officer,is_ten_percent_owner,officer_title,source
ZBH|0001999146-26-000006|derivative|2026-05-22|Shapiro Louis|A|Phantom Stock Units|875.35|0|D,2026-05-28 06:06:30+0000,ZBH,"ZIMMER BIOMET HOLDINGS, INC.",0001136869,4,2026-05-27,2026-05-22,0001999146-26-000006,https://www.sec.gov/Archives/edgar/data/1136869/000199914626000006/form4-05272026_080511.xml,derivative,2026-05-22,A,Phantom Stock Units,875.35,0,0.0,3544.416,D,Shapiro Louis,,true,false,false,,SEC EDGAR
ZBH|0001999146-26-000006|derivative|2026-05-22|Shapiro Louis|A|Restricted Stock Units|1517.274|0|D,2026-05-28 06:06:30+0000,ZBH,"ZIMMER BIOMET HOLDINGS, INC.",0001136869,4,2026-05-27,2026-05-22,0001999146-26-000006,https://www.sec.gov/Archives/edgar/data/1136869/000199914626000006/form4-05272026_080511.xml,derivative,2026-05-22,A,Restricted Stock Units,1517.274,0,0.0,3991.063,D,Shapiro Louis,,true,false,false,,SEC EDGAR
ZBH|0001910621-26-000006|derivative|2026-05-22|Kurdikar Devdatt|A|Phantom Stock Units|875.35|0|D,2026-05-28 06:06:30+0000,ZBH,"ZIMMER BIOMET HOLDINGS, INC.",0001136869,4,2026-05-27,2026-05-22,0001910621-26-000006,https://www.sec.gov/Archives/edgar/data/1136869/000191062126000006/form4-05272026_080533.xml,derivative,2026-05-22,A,Phantom Stock Units,875.35,0,0.0,2809.859,D,Kurdikar Devdatt,,true,false,false,,SEC EDGAR
ZBH|0001910621-26-000006|derivative|2026-05-22|Kurdikar Devdatt|A|Restricted Stock Units|1517.274|0|D,2026-05-28 06:06:30+0000,ZBH,"ZIMMER BIOMET HOLDINGS, INC.",0001136869,4,2026-05-27,2026-05-22,0001910621-26-000006,https://www.sec.gov/Archives/edgar/data/1136869/000191062126000006/form4-05272026_080533.xml,derivative,2026-05-22,A,Restricted Stock Units,1517.274,0,0.0,2922.072,D,Kurdikar Devdatt,,true,false,false,,SEC EDGAR
ZBH|0001689392-26-000008|derivative|2026-05-22|Kolli Sreelakshmi|A|Phantom Stock Units|875.35|0|D,2026-05-28 06:06:30+0000,ZBH,"ZIMMER BIOMET HOLDINGS, INC.",0001136869,4,2026-05-27,2026-05-22,0001689392-26-000008,https://www.sec.gov/Archives/edgar/data/1136869/000168939226000008/form4-05272026_080551.xml,derivative,2026-05-22,A,Phantom Stock Units,875.35,0,0.0,6662.281,D,Kolli Sreelakshmi,,true,false,false,,SEC EDGAR
ZBH|0001689392-26-000008|derivative|2026-05-22|Kolli Sreelakshmi|A|Restricted Stock Units|1517.274|0|D,2026-05-28 06:06:30+0000,ZBH,"ZIMMER BIOMET HOLDINGS, INC.",0001136869,4,2026-05-27,2026-05-22,0001689392-26-000008,https://www.sec.gov/Archives/edgar/data/1136869/000168939226000008/form4-05272026_080551.xml,derivative,2026-05-22,A,Restricted Stock Units,1517.274,0,0.0,6875,D,Kolli Sreelakshmi,,true,false,false,,SEC EDGAR
ZBH|0001745891-26-000004|derivative|2026-05-22|Jafry Syed A.|A|Phantom Stock Units|875.35|0|D,2026-05-28 06:06:30+0000,ZBH,"ZIMMER BIOMET HOLDINGS, INC.",0001136869,4,2026-05-27,2026-05-22,0001745891-26-000004,https://www.sec.gov/Archives/edgar/data/1136869/000174589126000004/form4-05272026_080501.xml,derivative,2026-05-22,A,Phantom Stock Units,875.35,0,0.0,8288.638,D,Jafry Syed A.,,true,false,false,,SEC EDGAR
ZBH|0001745891-26-000004|derivative|2026-05-22|Jafry Syed A.|A|Restricted Stock Units|1517.274|0|D,2026-05-28 06:06:30+0000,ZBH,"ZIMMER BIOMET HOLDINGS, INC.",0001136869,4,2026-05-27,2026-05-22,0001745891-26-000004,https://www.sec.gov/Archives/edgar/data/1136869/000174589126000004/form4-05272026_080501.xml,derivative,2026-05-22,A,Restricted Stock Units,1517.274,0,0.0,9098,D,Jafry Syed A.,,true,false,false,,SEC EDGAR
ZBH|0001587868-26-000008|derivative|2026-05-22|Hilado Maria Teresa|A|Phantom Stock Units|875.35|0|D,2026-05-28 06:06:30+0000,ZBH,"ZIMMER BIOMET HOLDINGS, INC.",0001136869,4,2026-05-27,2026-05-22,0001587868-26-000008,https://www.sec.gov/Archives/edgar/data/1136869/000158786826000008/form4-05272026_080549.xml,derivative,2026-05-22,A,Phantom Stock Units,875.35,0,0.0,12594.369,D,Hilado Maria Teresa,,true,false,false,,SEC EDGAR
ZBH|0001587868-26-000008|derivative|2026-05-22|Hilado Maria Teresa|A|Restricted Stock Units|1517.274|0|D,2026-05-28 06:06:30+0000,ZBH,"ZIMMER BIOMET HOLDINGS, INC.",0001136869,4,2026-05-27,2026-05-22,0001587868-26-000008,https://www.sec.gov/Archives/edgar/data/1136869/000158786826000008/form4-05272026_080549.xml,derivative,2026-05-22,A,Restricted Stock Units,1517.274,0,0.0,9098,D,Hilado Maria Teresa,,true,false,false,,SEC EDGAR
ZBH|0001142083-26-000006|derivative|2026-05-22|HIGGINS ARTHUR J|A|Phantom Stock Units|875.35|0|D,2026-05-28 06:06:30+0000,ZBH,"ZIMMER BIOMET HOLDINGS, INC.",0001136869,4,2026-05-27,2026-05-22,0001142083-26-000006,https://www.sec.gov/Archives/edgar/data/1136869/000114208326000006/form4-05272026_080517.xml,derivative,2026-05-22,A,Phantom Stock Units,875.35,0,0.0,37357.322,D,HIGGINS ARTHUR J,,true,false,false,,SEC EDGAR
ZBH|0001142083-26-000006|derivative|2026-05-22|HIGGINS ARTHUR J|A|Restricted Stock Units|1517.274|0|D,2026-05-28 06:06:30+0000,ZBH,"ZIMMER BIOMET HOLDINGS, INC.",0001136869,4,2026-05-27,2026-05-22,0001142083-26-000006,https://www.sec.gov/Archives/edgar/data/1136869/000114208326000006/form4-05272026_080517.xml,derivative,2026-05-22,A,Restricted Stock Units,1517.274,0,0.0,26382,D,HIGGINS ARTHUR J,,true,false,false,,SEC EDGAR
ZBH|0001222676-26-000008|derivative|2026-05-22|HAGEMANN ROBERT|A|Phantom Stock Units|875.35|0|D,2026-05-28 06:06:30+0000,ZBH,"ZIMMER BIOMET HOLDINGS, INC.",0001136869,4,2026-05-27,2026-05-22,0001222676-26-000008,https://www.sec.gov/Archives/edgar/data/1136869/000122267626000008/form4-05272026_080528.xml,derivative,2026-05-22,A,Phantom Stock Units,875.35,0,0.0,32952.074,D,HAGEMANN ROBERT,,true,false,false,,SEC EDGAR
ZBH|0001222676-26-000008|derivative|2026-05-22|HAGEMANN ROBERT|A|Restricted Stock Units|1517.274|0|D,2026-05-28 06:06:30+0000,ZBH,"ZIMMER BIOMET HOLDINGS, INC.",0001136869,4,2026-05-27,2026-05-22,0001222676-26-000008,https://www.sec.gov/Archives/edgar/data/1136869/000122267626000008/form4-05272026_080528.xml,derivative,2026-05-22,A,Restricted Stock Units,1517.274,0,0.0,25927,D,HAGEMANN ROBERT,,true,false,false,,SEC EDGAR
