unique_key,collected_at_utc,ticker,company_name,cik,form,filing_date,report_date,accession_number,filing_url,transaction_table,transaction_date,transaction_code,security_title,shares,price,total_amount,shares_owned_after,ownership_type,reporting_owner,relationship,is_director,is_officer,is_ten_percent_owner,officer_title,source
YUM|0001041061-26-000173|nonDerivative|2026-08-24|Skeans Tracy L|S|Common Stock|3494|158.00|D,2026-08-25 01:47:39+0000,YUM,YUM BRANDS INC,0001041061,4,2026-08-24,2026-08-24,0001041061-26-000173,https://www.sec.gov/Archives/edgar/data/1041061/000104106126000173/form4.xml,nonDerivative,2026-08-24,S,Common Stock,3494,158.00,552052.0,3,D,Skeans Tracy L,"Officer, COO and CPO",,1,,COO and CPO,SEC EDGAR
XYZ|0001628280-26-058746|nonDerivative|2026-08-20|Jennings Owen Britton|F|Class A  Common Stock|17633|80.08|D,2026-08-25 01:47:39+0000,XYZ,"Block, Inc.",0001512673,4,2026-08-24,2026-08-20,0001628280-26-058746,https://www.sec.gov/Archives/edgar/data/1512673/000162828026058746/wk-form4_1787615716.xml,nonDerivative,2026-08-20,F,Class A  Common Stock,17633,80.08,1412050.64,462029,D,Jennings Owen Britton,"Officer, Business Lead",0,1,0,Business Lead,SEC EDGAR
XYZ|0001628280-26-058746|nonDerivative|2026-08-21|Jennings Owen Britton|S|Class A  Common Stock|584|80.04|D,2026-08-25 01:47:39+0000,XYZ,"Block, Inc.",0001512673,4,2026-08-24,2026-08-20,0001628280-26-058746,https://www.sec.gov/Archives/edgar/data/1512673/000162828026058746/wk-form4_1787615716.xml,nonDerivative,2026-08-21,S,Class A  Common Stock,584,80.04,46743.36,461445,D,Jennings Owen Britton,"Officer, Business Lead",0,1,0,Business Lead,SEC EDGAR
XYZ|0001628280-26-058746|nonDerivative|2026-08-24|Jennings Owen Britton|S|Class A  Common Stock|1317|81.48|D,2026-08-25 01:47:39+0000,XYZ,"Block, Inc.",0001512673,4,2026-08-24,2026-08-20,0001628280-26-058746,https://www.sec.gov/Archives/edgar/data/1512673/000162828026058746/wk-form4_1787615716.xml,nonDerivative,2026-08-24,S,Class A  Common Stock,1317,81.48,107309.16,460128,D,Jennings Owen Britton,"Officer, Business Lead",0,1,0,Business Lead,SEC EDGAR
XYZ|0001628280-26-058745|nonDerivative|2026-08-20|Grassadonia Brian|F|Class A Common Stock|9592|80.08|D,2026-08-25 01:47:39+0000,XYZ,"Block, Inc.",0001512673,4,2026-08-24,2026-08-20,0001628280-26-058745,https://www.sec.gov/Archives/edgar/data/1512673/000162828026058745/wk-form4_1787615675.xml,nonDerivative,2026-08-20,F,Class A Common Stock,9592,80.08,768127.36,522154,D,Grassadonia Brian,"Officer, Ecosystem Lead",0,1,0,Ecosystem Lead,SEC EDGAR
XYZ|0001628280-26-058745|nonDerivative|2026-08-24|Grassadonia Brian|S|Class A Common Stock|3830|81.88|D,2026-08-25 01:47:39+0000,XYZ,"Block, Inc.",0001512673,4,2026-08-24,2026-08-20,0001628280-26-058745,https://www.sec.gov/Archives/edgar/data/1512673/000162828026058745/wk-form4_1787615675.xml,nonDerivative,2026-08-24,S,Class A Common Stock,3830,81.88,313600.39999999997,518324,D,Grassadonia Brian,"Officer, Ecosystem Lead",0,1,0,Ecosystem Lead,SEC EDGAR
XYZ|0001628280-26-058745|nonDerivative|2026-08-24|Grassadonia Brian|S|Class A Common Stock|4343|82.90|D,2026-08-25 01:47:39+0000,XYZ,"Block, Inc.",0001512673,4,2026-08-24,2026-08-20,0001628280-26-058745,https://www.sec.gov/Archives/edgar/data/1512673/000162828026058745/wk-form4_1787615675.xml,nonDerivative,2026-08-24,S,Class A Common Stock,4343,82.90,360034.7,513981,D,Grassadonia Brian,"Officer, Ecosystem Lead",0,1,0,Ecosystem Lead,SEC EDGAR
XYZ|0001628280-26-058743|nonDerivative|2026-08-20|Esperanza Chrysty|F|Class A Common Stock|8376|80.08|D,2026-08-25 01:47:39+0000,XYZ,"Block, Inc.",0001512673,4,2026-08-24,2026-08-20,0001628280-26-058743,https://www.sec.gov/Archives/edgar/data/1512673/000162828026058743/wk-form4_1787615575.xml,nonDerivative,2026-08-20,F,Class A Common Stock,8376,80.08,670750.08,252964,D,Esperanza Chrysty,"Officer, Chief Legal Officer",0,1,0,Chief Legal Officer,SEC EDGAR
XYZ|0001628280-26-058747|nonDerivative|2026-08-20|Eisen Anthony Mathew|S|Class A  Common Stock|6000|80.87|D,2026-08-25 01:47:39+0000,XYZ,"Block, Inc.",0001512673,4,2026-08-24,2026-08-20,0001628280-26-058747,https://www.sec.gov/Archives/edgar/data/1512673/000162828026058747/wk-form4_1787615759.xml,nonDerivative,2026-08-20,S,Class A  Common Stock,6000,80.87,485220.0,1500672,D,Eisen Anthony Mathew,Director,1,0,0,,SEC EDGAR
XYZ|0001628280-26-058747|nonDerivative|2026-08-21|Eisen Anthony Mathew|S|Class A  Common Stock|6000|80.04|D,2026-08-25 01:47:39+0000,XYZ,"Block, Inc.",0001512673,4,2026-08-24,2026-08-20,0001628280-26-058747,https://www.sec.gov/Archives/edgar/data/1512673/000162828026058747/wk-form4_1787615759.xml,nonDerivative,2026-08-21,S,Class A  Common Stock,6000,80.04,480240.00000000006,1494672,D,Eisen Anthony Mathew,Director,1,0,0,,SEC EDGAR
XYZ|0001628280-26-058747|nonDerivative|2026-08-24|Eisen Anthony Mathew|S|Class A  Common Stock|6000|81.48|D,2026-08-25 01:47:39+0000,XYZ,"Block, Inc.",0001512673,4,2026-08-24,2026-08-20,0001628280-26-058747,https://www.sec.gov/Archives/edgar/data/1512673/000162828026058747/wk-form4_1787615759.xml,nonDerivative,2026-08-24,S,Class A  Common Stock,6000,81.48,488880.0,1488672,D,Eisen Anthony Mathew,Director,1,0,0,,SEC EDGAR
XYZ|0001628280-26-058744|nonDerivative|2026-08-20|Ahuja Amrita|F|Class A Common Stock|18401|80.08|D,2026-08-25 01:47:39+0000,XYZ,"Block, Inc.",0001512673,4,2026-08-24,2026-08-20,0001628280-26-058744,https://www.sec.gov/Archives/edgar/data/1512673/000162828026058744/wk-form4_1787615641.xml,nonDerivative,2026-08-20,F,Class A Common Stock,18401,80.08,1473552.08,435874,D,Ahuja Amrita,"Officer, CFO & COO",0,1,0,CFO & COO,SEC EDGAR
XYZ|0001628280-26-058744|nonDerivative|2026-08-21|Ahuja Amrita|S|Class A Common Stock|3101|80.04|D,2026-08-25 01:47:39+0000,XYZ,"Block, Inc.",0001512673,4,2026-08-24,2026-08-20,0001628280-26-058744,https://www.sec.gov/Archives/edgar/data/1512673/000162828026058744/wk-form4_1787615641.xml,nonDerivative,2026-08-21,S,Class A Common Stock,3101,80.04,248204.04,432773,D,Ahuja Amrita,"Officer, CFO & COO",0,1,0,CFO & COO,SEC EDGAR
XYZ|0001628280-26-058744|nonDerivative|2026-08-24|Ahuja Amrita|S|Class A Common Stock|4636|81.91|D,2026-08-25 01:47:39+0000,XYZ,"Block, Inc.",0001512673,4,2026-08-24,2026-08-20,0001628280-26-058744,https://www.sec.gov/Archives/edgar/data/1512673/000162828026058744/wk-form4_1787615641.xml,nonDerivative,2026-08-24,S,Class A Common Stock,4636,81.91,379734.76,428137,D,Ahuja Amrita,"Officer, CFO & COO",0,1,0,CFO & COO,SEC EDGAR
