ticker,cik,company_name,since_date,enabled,status
NVDA,0001045810,NVIDIA CORP,2026-04-28,TRUE,OK
TSLA,0001318605,"Tesla, Inc.",2026-04-28,TRUE,OK
AAPL,0000320193,Apple Inc.,2026-04-28,TRUE,OK
MSFT,0000789019,MICROSOFT CORP,2026-04-28,TRUE,OK
AMZN,0001018724,AMAZON COM INC,2026-04-28,TRUE,OK
GOOGL,0001652044,Alphabet Inc.,2026-04-28,TRUE,OK
META,0001326801,"Meta Platforms, Inc.",2026-04-28,TRUE,OK
PLTR,0001321655,Palantir Technologies Inc.,2026-04-28,TRUE,OK
AMD,0000002488,ADVANCED MICRO DEVICES INC,2026-04-28,TRUE,OK
AVGO,0001730168,Broadcom Inc.,2026-04-28,TRUE,OK
MSTR,0001050446,Strategy Inc,2026-04-28,TRUE,OK
COIN,0001679788,"Coinbase Global, Inc.",2026-04-28,TRUE,OK
NFLX,0001065280,NETFLIX INC,2026-04-28,TRUE,OK
UBER,0001543151,"Uber Technologies, Inc",2026-04-28,TRUE,OK
HOOD,0001783879,"Robinhood Markets, Inc.",2026-04-28,TRUE,OK
ARM,0001973239,ARM HOLDINGS PLC /UK,2026-04-28,TRUE,OK
BRKB,,,2026-04-28,FALSE,NOT_FOUND
COST,0000909832,COSTCO WHOLESALE CORP /NEW,2026-04-28,TRUE,OK
BABA,0001577552,Alibaba Group Holding Ltd,2026-04-28,TRUE,OK
UNH,0000731766,UNITEDHEALTH GROUP INC,2026-04-28,TRUE,OK
